8.3 2000
350 200
492 1371 37 37

Coordinates
1            3            0            5
2            3          0.2          4.8
3          2.8            0          4.8
4            3            0       4.3333
5            3         0.75            5
6         2.25            0            5
7         2.15            0          4.8
8            3         0.85          4.8
9          2.8            0         4.08
10            3          0.2         4.08
11       2.4749      0.54987       4.3677
12            3      0.60622            4
13       2.3938            0            4
14        1.875      0.60622            5
15            3            0       3.6667
16            3       1.2014       4.3645
17       2.2759       1.1689            5
18            3        1.175       4.1938
19        1.825            0       4.1938
20         1.58            0          4.8
21            3         1.42          4.8
22       1.7294            0       4.2274
23            3          1.5            5
24          1.5            0            5
25       2.4335       1.1796        4.259
26            3          1.5          4.8
27          1.5            0          4.8
28       2.1101      0.29977       3.7885
29       1.8924      0.84945       4.3388
30         1.42            0          4.8
31            3         1.58          4.8
32            3      0.80322       3.6042
33       2.1968            0       3.6042
34       2.3069      0.73341       3.7406
35            3         1.42          4.2
36         1.58            0          4.2
37          2.8            0         3.36
38            3          0.2         3.36
39            3         1.58          4.2
40         1.42            0          4.2
41            3      0.60622       3.3333
42       2.3938            0       3.3333
43       1.5146      0.35297       4.0856
44            3       1.2124       3.6667
45       2.4686        1.692        4.639
46            3       1.7294       4.2274
47       1.5371       1.2202            5
48       1.3916      0.94573       4.6089
49       1.2014            0       4.3645
50       1.9005       1.4798        4.442
51       2.5541        1.315       3.6462
52       1.1518      0.48452       4.4498
53            3         1.42          3.6
54         1.58            0          3.6
55            3        1.825       4.1938
56        1.175            0       4.1938
57            3            0            3
58       1.9507       1.2531        3.847
59            3          0.2            3
60          2.8            0            3
61       2.6509      0.58993       3.0979
62       1.0663      0.64541            5
63       1.8187            0       3.3333
64       1.9674       1.7683            5
65       1.4671      0.91345       3.9895
66       2.1178       0.4528       3.1986
67            3          1.5       3.5876
68          1.5            0       3.5876
69       1.6888       0.7358       3.5784
70            3         1.58          3.6
71         1.42            0          3.6
72       2.2968       1.7591       4.0269
73         2.19            0            3
74            3         0.81            3
75            3         2.15          4.8
76         0.85            0          4.8
77          2.8            0          2.8
78            3          0.2          2.8
79       2.0187            0       3.0014
80       1.2124            0       3.6667
81            3       1.0036       3.0002
82       2.1069       1.0897       3.2493
83         0.75            0            5
84            3         2.25            5
85       2.3563       2.1902            5
86       1.3189       1.3757       4.1991
87            3       1.2124            3
88         2.19            0          2.8
89            3         0.81          2.8
90          2.8            0         2.64
91            3          0.2         2.64
92       2.6235       2.2739       4.4307
93       1.8867       2.0667       4.5565
94      0.97801      0.53171       3.8368
95       2.3938            0       2.6667
96            3      0.60622       2.6667
97            3         1.42            3
98         1.58            0            3
99            3       1.8187       3.3333
100       0.8872       1.0241        4.234
101         1.56      0.49582       3.0325
102       2.1009       1.7052        3.421
103       2.1123       0.4917       2.7111
104       1.6682       1.8692       3.9923
105       2.5573       1.4868       3.0308
106         1.42            0            3
107            3         1.58            3
108       1.2016       1.8346            5
109            3       2.3938            4
110      0.60622            0            4
111            3       2.1968       3.6042
112      0.80322            0       3.6042
113      0.73542        1.296            5
114      0.53408      0.49902        4.292
115       1.8187            0       2.6667
116         1.58            0          2.8
117            3         1.42          2.8
118       1.1587      0.63206       3.1809
119            3            0       2.3333
120       1.3076       2.0176       4.5501
121       1.2124            0            3
122      0.99772       1.1296        3.614
123       2.4783       2.2021       3.5556
124       1.6992       2.3646            5
125         1.42            0          2.8
126            3         1.58          2.8
127        2.335       1.0787       2.5922
128            3      0.80322       2.3958
129       2.1968            0       2.3958
130      0.82556       1.6107       4.6729
131       1.2665       1.6136       3.5738
132       2.6097      0.57115       2.3179
133       1.4384       1.3107       3.1182
134          0.2            0          4.8
135            3          2.8          4.8
136       2.1925       2.5251        4.031
137       1.0036            0       3.0002
138        2.194       2.6944       4.6469
139            3       2.0187       3.0014
140       1.7056      0.97966       2.6413
141       1.9559       1.5394       2.8212
142      0.41748      0.24842       3.7123
143       1.0378       1.9356        4.073
144      0.60622            0       3.3333
145            3       2.3938       3.3333
146            3       1.2124       2.3333
147            3          2.8         4.08
148          0.2            0         4.08
149      0.44599      0.87433       3.8035
150            3       1.8187       2.6667
151            3         2.19            3
152         0.81            0            3
153            3          1.5       2.4124
154          1.5            0       2.4124
155       1.5608      0.40604       2.3999
156            0            0            5
157            3            3            5
158       2.3025       2.0646       2.9327
